query,network_distribution,runtime
q3-v1.4,A,52.580157809
q3-v1.4,A,54.323500147000004
q3-v1.4,A,48.478000092
q3-v1.4,A,42.255785024
q3-v1.4,A,46.179463594999994
q3-v1.4,A,39.900091986
q3-v1.4,A,40.453364122
q3-v1.4,A,40.353332231
q3-v1.4,A,45.334637174
q3-v1.4,A,44.47283710000001
q3-v1.4,A,52.612123637
q3-v1.4,A,64.65463366200001
q3-v1.4,A,36.828986542
q3-v1.4,A,36.519388993
q3-v1.4,A,43.516801091
q3-v1.4,A,43.101955239000006
q3-v1.4,A,40.56189358300001
q3-v1.4,A,44.020627796999996
q3-v1.4,A,44.653010843000004
q3-v1.4,A,39.247581348
q3-v1.4,A,48.46702171000001
q3-v1.4,A,40.00108882499999
q3-v1.4,A,48.683414838
q3-v1.4,A,36.624447827999994
q3-v1.4,A,45.566205281
q3-v1.4,A,39.908350469999995
q3-v1.4,A,47.36913169999999
q3-v1.4,A,53.908320890000006
q3-v1.4,A,40.324761032
q3-v1.4,A,31.808300222999996
q3-v1.4,A,52.02668652
q3-v1.4,A,47.209380913000004
q3-v1.4,A,42.103656574999995
q3-v1.4,A,39.99645911799999
q3-v1.4,A,42.46375965099999
q3-v1.4,A,36.520163688
q3-v1.4,A,53.508032735
q3-v1.4,A,46.656128376
q3-v1.4,A,46.637441651
q3-v1.4,A,43.548350494
q3-v1.4,A,38.424575207000004
q3-v1.4,A,48.298385263000014
q3-v1.4,A,45.380914151999995
q3-v1.4,A,35.614596599
q3-v1.4,A,39.338481492999996
q3-v1.4,A,50.379551388
q3-v1.4,A,90.443862003
q3-v1.4,A,48.724488767000004
q3-v1.4,A,43.041821834000004
q3-v1.4,B,26.050011305
q3-v1.4,B,19.044803679
q3-v1.4,B,17.535159344
q3-v1.4,B,16.879269903
q3-v1.4,B,18.728677912
q3-v1.4,B,17.643540261
q3-v1.4,B,19.463707975000002
q3-v1.4,B,12.758327207999999
q3-v1.4,B,17.700715412
q3-v1.4,B,15.393949211999999
q3-v1.4,B,19.066442557
q3-v1.4,B,17.586687671000004
q3-v1.4,B,16.467808252
q3-v1.4,B,19.636691130999996
q3-v1.4,B,15.520198071
q3-v1.4,B,17.840238205000002
q3-v1.4,B,14.816635937
q3-v1.4,B,18.258355567999995
q3-v1.4,B,16.072894601
q3-v1.4,B,22.924436178999997
q3-v1.4,B,14.037625236000002
q3-v1.4,B,19.579874870000005
q3-v1.4,B,17.423287323
q3-v1.4,B,14.342404292000001
q3-v1.4,B,16.795117523
q3-v1.4,B,17.271996674
q3-v1.4,B,17.881982799
q3-v1.4,B,16.916150283999997
q3-v1.4,B,20.161345294000004
q3-v1.4,B,20.758330874
q3-v1.4,B,18.665299279
q3-v1.4,B,15.689704628
q3-v1.4,B,19.215099841
q3-v1.4,B,14.154975791
q3-v1.4,B,15.61975379
q3-v1.4,B,11.639166421
q3-v1.4,B,16.202507951
q3-v1.4,B,14.553126622
q3-v1.4,B,14.515727723
q3-v1.4,B,13.67833454
q3-v1.4,B,19.414075604
q3-v1.4,B,17.971782965
q3-v1.4,B,15.514926345999998
q3-v1.4,B,19.359827575
q3-v1.4,B,19.241251486000003
q3-v1.4,B,16.411205915
q3-v1.4,B,18.186572836
q3-v1.4,B,18.471741449
q3-v1.4,B,15.933516939
q3-v1.4,B,16.988608513000003
q3-v1.4,C,19.201088538
q3-v1.4,C,10.604584617
q3-v1.4,C,11.407203062
q3-v1.4,C,11.108952385
q3-v1.4,C,11.272744973
